"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"272","Algeria",2020-12-25,"Africa",43984569,"Sputnik V",0,0,1
"273","Algeria",2020-12-26,"Africa",43984569,"Sputnik V",0,0,1
"274","Algeria",2020-12-27,"Africa",43984569,"Sputnik V",0,0,1
"275","Algeria",2020-12-28,"Africa",43984569,"Sputnik V",0,0,1
"276","Algeria",2020-12-29,"Africa",43984569,"Sputnik V",0,0,1
"277","Algeria",2020-12-30,"Africa",43984569,"Sputnik V",0,0,1
"278","Algeria",2020-12-31,"Africa",43984569,"Sputnik V",0,0,1
"279","Algeria",2021-01-01,"Africa",43984569,"Sputnik V",0,0,1
"280","Algeria",2021-01-02,"Africa",43984569,"Sputnik V",0,0,1
"281","Algeria",2021-01-03,"Africa",43984569,"Sputnik V",0,0,1
"282","Algeria",2021-01-04,"Africa",43984569,"Sputnik V",0,0,1
"283","Algeria",2021-01-05,"Africa",43984569,"Sputnik V",0,0,1
"284","Algeria",2021-01-06,"Africa",43984569,"Sputnik V",0,0,1
"285","Algeria",2021-01-07,"Africa",43984569,"Sputnik V",0,0,1
"286","Algeria",2021-01-08,"Africa",43984569,"Sputnik V",0,0,1
"287","Algeria",2021-01-09,"Africa",43984569,"Sputnik V",0,0,1
"288","Algeria",2021-01-10,"Africa",43984569,"Sputnik V",0,0,1
"289","Algeria",2021-01-11,"Africa",43984569,"Sputnik V",0,0,1
"290","Algeria",2021-01-12,"Africa",43984569,"Sputnik V",0,0,1
"291","Algeria",2021-01-13,"Africa",43984569,"Sputnik V",0,0,1
